League,Squad
Albanian League,SkÎnderbeu KorÁÎ
Austrian Bundesliga,Red Bull Salzburg
Austrian Bundesliga,Sturm Graz
Austrian Bundesliga,Wolfsberger AC
Austrian Bundesliga,Austria Wien
Austrian Bundesliga,Rapid Wien
Austrian Bundesliga,SK Austria Klagenfurt
Austrian Bundesliga,
Austrian Bundesliga,Ried
Austrian Bundesliga,LASK
Austrian Bundesliga,WSG Tirol
Austrian Bundesliga,Hartberg
Austrian Bundesliga,Admira
Austrian Bundesliga,SCR Altach
Belarus League,BATE Borisov
Belarus League,Dinamo Minsk
Belgian League,Union SG
Belgian League,Club Brugge
Belgian League,Anderlecht
Belgian League,Antwerp
Belgian League,
Belgian League,Gent
Belgian League,Mechelen
Belgian League,Charleroi
Belgian League,Genk
Belgian League,
Belgian League,Cercle Brugge
Belgian League,Sint-Truiden
Belgian League,OH Leuven
Belgian League,Kortrijk
Belgian League,Standard LiËge
Belgian League,Oostende
Belgian League,Zulte Waregem
Belgian League,Eupen
Belgian League,R.F.C. Seraing
Belgian League,Beerschot
Bosnia Premijer Liga,FK Sarajevo
Bulgarian League,Ludogorets Razgrad
Bulgarian League,CSKA Sofia
Bulgarian League,Botev Plovdiv
Bulgarian League,Cherno More
Bulgarian League,Slavia Sofia
Bulgarian League,Levski Sofia
Bulgarian League,
Bulgarian League,Loko Plovdiv
Bulgarian League,Beroe
Bulgarian League,CSKA 1948
Bulgarian League,Arda
Bulgarian League,
Bulgarian League,Pirin Blagoevgrad
Bulgarian League,Lokomotiv Sofia
Bulgarian League,Botev Vratsa
Bulgarian League,Tsarsko Selo
Bundesliga,Bayern Munich
Bundesliga,Dortmund
Bundesliga,Bayer Leverkusen
Bundesliga,RB Leipzig
Bundesliga,Freiburg
Bundesliga,Hoffenheim
Bundesliga,Kˆln
Bundesliga,Union Berlin
Bundesliga,Eintracht Frankfurt
Bundesliga,Mainz 05
Bundesliga,Bochum
Bundesliga,Wolfsburg
Bundesliga,Mˆnchengladbach
Bundesliga,Augsburg
Bundesliga,Arminia
Bundesliga,Stuttgart
Bundesliga,Hertha BSC
Bundesliga,Greuther F¸rth
Bundesliga,Schalke 04
Bundesliga,Werder Bremen
Bundesliga,Hannover 96
Bundesliga,Hamburger SV
Bundesliga,Kˆln
Cypro League,APOEL FC
Cypro League,Apollon Limassol
Czech League,Viktoria Plzen
Czech League,Slavia Prague
Czech League,Sparta Prague
Czech League,Slov√°cko
Czech League,Ban√≠k Ostrava
Czech League,Slovan Liberec
Czech League,ƒåesk√© Budƒïjov.
Czech League,Mlad√° Boleslav
Czech League,Hradec Kr√°lov√©
Czech League,Sigma Olomouc
Czech League,Fastav Zl√≠n
Czech League,Jablonec
Czech League,Bohemians 1905
Czech League,Teplice
Czech League,FK Pardubice
Czech League,Karvin√°
Denmark League,FC Copenhagen
Denmark League,Br√∏ndby
Denmark League,Midtjylland
Denmark League,Aalborg
Denmark League,Randers
Denmark League,Silkeborg
Denmark League,
Denmark League,Viborg
Denmark League,AGF
Denmark League,Odense
Denmark League,Nordsj√¶lland
Denmark League,Vejle BK
Denmark League,S√∏nderjyskE
Denmark League,NordsjÊlland
Divizia Nasional,Sheriff Tiraspol
Ekstraklasa,Legia Warsaw
Ekstraklasa,Lech Poznan
Ekstraklasa,Dnipro Dnipropetrovsk
Eredivisie,Ajax
Eredivisie,PSV Eindhoven
Eredivisie,Feyenoord
Eredivisie,AZ Alkmaar
Eredivisie,Twente
Eredivisie,Vitesse
Eredivisie,Utrecht
Eredivisie,Groningen
Eredivisie,Cambuur
Eredivisie,NEC Nijmegen
Eredivisie,Heracles Almelo
Eredivisie,Heerenveen
Eredivisie,Go Ahead Eag
Eredivisie,RKC Waalwijk
Eredivisie,Willem II
Eredivisie,Fortuna Sittard
Eredivisie,Sparta R'dam
Eredivisie,Zwolle
Erovnuli Liga,Dinamo Tbilisi
Finland League,HJK Helsinki
Greece League,Olympiacos
Greece League,PAOK
Greece League,AEK Athens
Greece League,Aris
Greece League,Panathinaikos
Greece League,PAS Giannina
Greece League,
Greece League,OFI Crete
Greece League,Asteras Tripoli
Greece League,Panetolikos
Greece League,Volos NFC
Greece League,Ionikos
Greece League,Atromitos
Greece League,PAS Lamia
Greece League,Apollon Smyrnis
Greece League,Celtic
Greece League,Rangers
Greece League,Hearts
Greece League,Hibernian
Greece League,Livingston
Greece League,Ross County
Greece League,
Greece League,Dundee United
Greece League,Motherwell
Greece League,St Mirren
Greece League,Aberdeen
Greece League,St Johnstone
Greece League,Dundee
HNL 1,Dinamo Zagreb
HNL 1,Osijek
HNL 1,Rijeka
HNL 1,Hajduk Split
HNL 1,Lokomotiva
HNL 1,Gorica
HNL 1,Slaven Belupo
HNL 1,≈†ibenik
HNL 1,Istra 1961
HNL 1,Hrvatski Dragovoljac
Hungary League,Ferencv·ros
Hungary League,Kisv√°rda
Hungary League,Pusk√°s
Hungary League,Paks
Hungary League,Zalaegerszeg
Hungary League,√öjpest
Hungary League,Vidi
Hungary League,Honv√©d
Hungary League,Debrecen
Hungary League,Mez≈ëk√∂vesd
Hungary League,Gyirm√≥t
Hungary League,MTK Budapest
Israeli Ligue,Maccabi Tel Aviv
Israeli Ligue,Hapoel Tel Aviv
Israeli Ligue,Hapoel Be'er Sheva
Kazaki League,Astana FK
La Liga,Real Madrid
La Liga,Sevilla
La Liga,Barcelona
La Liga,AtlÈtico Madrid
La Liga,Betis
La Liga,Real Sociedad
La Liga,Villarreal
La Liga,Athletic Club
La Liga,Valencia
La Liga,Celta Vigo
La Liga,Osasuna
La Liga,Espanyol
La Liga,Rayo Vallecano
La Liga,Elche
La Liga,Getafe
La Liga,Mallorca
La Liga,Granada
La Liga,C√°diz
La Liga,Alav√©s
La Liga,Levante
La Liga,M√°laga
La Liga,Real Betis
Liga Portuguesa,Porto
Liga Portuguesa,Sporting CP
Liga Portuguesa,Benfica
Liga Portuguesa,Braga
Liga Portuguesa,Gil Vicente FC
Liga Portuguesa,VitÛria Guimar„es
Liga Portuguesa,Estoril
Liga Portuguesa,Mar√≠timo
Liga Portuguesa,PaÁos de Ferreira
Liga Portuguesa,Santa Clara
Liga Portuguesa,Portimonense
Liga Portuguesa,Famalic√£o
Liga Portuguesa,Boavista
Liga Portuguesa,FC Vizela
Liga Portuguesa,Arouca
Liga Portuguesa,Tondela
Liga Portuguesa,Moreirense
Liga Portuguesa,Belenenses
Ligat ha'Al,Maccabi Haifa
Ligue 1,Paris Saint-Germain
Ligue 1,Marseille
Ligue 1,Nice
Ligue 1,Rennes
Ligue 1,Strasbourg
Ligue 1,Lille
Ligue 1,Nantes
Ligue 1,Monaco
Ligue 1,Lens
Ligue 1,Lyon
Ligue 1,Montpellier
Ligue 1,Reims
Ligue 1,Brest
Ligue 1,Angers
Ligue 1,Troyes
Ligue 1,Clermont Foot
Ligue 1,Lorient
Ligue 1,Saint-…tienne
Ligue 1,Metz
Ligue 1,Bordeaux
Ligue 1,Auxerre
Ligue 1,Guingamp
Ligue 1,Toulouse
Luxembourg League,F91 Dudelange
Norway League,Bod√∏/Glimt
Norway League,Molde
Norway League,Viking
Norway League,Lillestr√∏m
Norway League,Rosenborg
Norway League,Kristiansund
Norway League,V√•lerenga
Norway League,Sarpsborg 08
Norway League,Str√∏msgodset
Norway League,Sandefjord
Norway League,Haugesund
Norway League,Troms√∏
Norway League,Odd
Norway League,Brann
Norway League,Stab√¶k
Norway League,Mj√∏ndalen
Premier League,Manchester City
Premier League,Liverpool
Premier League,Chelsea
Premier League,Arsenal
Premier League,Manchester United
Premier League,West Ham United
Premier League,Wolverhampton Wanderers
Premier League,Tottenham Hotspur
Premier League,Aston Villa
Premier League,Southampton
Premier League,Crystal Palace
Premier League,Leicester City
Premier League,Brighton
Premier League,Newcastle Utd
Premier League,Brentford
Premier League,Leeds United
Premier League,Everton
Premier League,Watford
Premier League,Burnley
Premier League,Norwich City
Premier League,Fulham
Premier League,Stoke City
Premier League,Newcastle United
Premier League,Birmingham City
Premier League,Swansea City
Premier League,Wigan Athletic
Premyer Liqasi,Qarabag FK
Romanian League,CFR Cluj
Romanian League,Steaua Bucarest
Romanian League,Rapid Bucuresti
Romanian League,Otelul Galati
Russian League,Zenit
Russian League,Dynamo Moscow
Russian League,CSKA Moscow
Russian League,Sochi
Russian League,Krasnodar
Russian League,Akhmat Grozny
Russian League,Lokomotiv Moscow
Russian League,Samara
Russian League,Spartak Moscow
Russian League,Rubin Kazan
Russian League,Nizhny Novgorod
Russian League,Rostov
Russian League,Ural
Russian League,Arsenal Tula
Russian League,Ufa
Russian League,FC Khimki
Russian League,Anzhi Makhachkala
Serbian League,Partizan
Serbian League,Red Star
Serie A,Milan
Serie A,Napoli
Serie A,Internazionale
Serie A,Juventus
Serie A,Lazio
Serie A,Roma
Serie A,Atalanta
Serie A,Fiorentina
Serie A,Hellas Verona
Serie A,Sassuolo
Serie A,Torino
Serie A,Udinese
Serie A,Bologna
Serie A,Empoli
Serie A,Spezia
Serie A,Sampdoria
Serie A,Cagliari
Serie A,Venezia
Serie A,Genoa
Serie A,Salernitana
Serie A,Palermo
Slovak League,NK Maribor
Slovak League,Slovan Bratislava
Slovak League,Spartak Trnava
Slovak League,Olimpija Ljubljana
Sweden League,Malmˆ
Sweden League,AIK Stockholm
Sweden League,Djurg√•rden
Sweden League,Elfsborg
Sweden League,Hammarby
Sweden League,Kalmar
Sweden League,Norrk√∂ping
Sweden League,G√∂teborg
Sweden League,Mj√§llby
Sweden League,Varberg
Sweden League,Sirius
Sweden League,H√§cken
Sweden League,Degerfors
Sweden League,Halmstad
Sweden League,√ñrebro
Sweden League,√ñstersund
Swiss Super League,Z¸rich
Swiss Super League,Basel
Swiss Super League,Young Boys
Swiss Super League,Lugano
Swiss Super League,Servette FC
Swiss Super League,St. Gallen
Swiss Super League,Sion
Swiss Super League,Grasshopper
Swiss Super League,Luzern
Swiss Super League,Lausanne-Sport
Turkish League,Trabzonspor
Turkish League,Konyaspor
Turkish League,FenerbahÁe
Turkish League,Istanbul Basaksehir
Turkish League,Alanyaspor
Turkish League,Hatayspor
Turkish League,Adana Demirspor
Turkish League,Besiktas
Turkish League,Fatih Karag√ºmr√ºk
Turkish League,Kayserispor
Turkish League,Galatasaray
Turkish League,Antalyaspor
Turkish League,Gaziantep FK
Turkish League,Sivasspor
Turkish League,Kasƒ±mpa≈üa
Turkish League,Giresunspor
Turkish League,Altay
Turkish League,G√∂ztepe
Turkish League,Rizespor
Turkish League,Yeni Mal'spor
Turkish League,Bursaspor
Ukraine League,Shakhtar Donetsk
Ukraine League,Dynamo Kyiv
Ukraine League,SK Dnipro-1
Ukraine League,Zorya Luhansk
Ukraine League,Vorskla Poltava
Ukraine League,FC Oleksandriya
Ukraine League,Desna Chernihiv
Ukraine League,FK Kolos
Ukraine League,Veres Rivne
Ukraine League,Metalist Kharkiv
Ukraine League,–†—É—Ö
Ukraine League,FC Lviv
Ukraine League,Chornomorets Odesa
Ukraine League,FK Inhulets
Ukraine League,FK Mynai
Ukraine League,FC Mariupol
Welsh League,The New Saints
